pclass,survived,name,last_name,sex,age,sibsp,has_sibsp,parch,has_parch,ticket,fare,fare_group,cabin,embarked,boat,body,dest
1,1,"Allen, Miss. Elisabeth Walton",15,1,29,0,0,0,0,24160,211.3375,4,B5,S,2,,"St Louis, MO"
1,1,"Allison, Master. Hudson Trevor",16,0,0.9167,1,1,2,1,113781,151.55,4,C22 C26,S,11,,"Montreal, PQ / Chesterville, ON"
1,0,"Allison, Miss. Helen Loraine",16,1,2,1,1,2,1,113781,151.55,4,C22 C26,S,,,"Montreal, PQ / Chesterville, ON"
1,0,"Allison, Mr. Hudson Joshua Creighton",16,0,30,1,1,2,1,113781,151.55,4,C22 C26,S,,135,"Montreal, PQ / Chesterville, ON"
1,0,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",16,1,25,1,1,2,1,113781,151.55,4,C22 C26,S,,,"Montreal, PQ / Chesterville, ON"
1,1,"Anderson, Mr. Harry",20,0,48,0,0,0,0,19952,26.55,1,E12,S,3,,"New York, NY"
1,1,"Andrews, Miss. Kornelia Theodosia",24,1,63,1,1,0,0,13502,77.9583,2,D7,S,10,,"Hudson, NY"
1,0,"Andrews, Mr. Thomas Jr",24,0,39,0,0,0,0,112050,0.0,1,A36,S,,,"Belfast, NI"
1,1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",27,1,53,2,1,0,0,11769,51.4792,2,C101,S,D,,"Bayside, Queens, NY"
1,0,"Artagaveytia, Mr. Ramon",30,0,71,0,0,0,0,PC 17609,49.5042,2,,C,,22,"Montevideo, Uruguay"
1,0,"Astor, Col. John Jacob",37,0,47,1,1,0,0,PC 17757,227.525,4,C62 C64,C,,124,"New York, NY"
1,1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",37,1,18,1,1,0,0,PC 17757,227.525,4,C62 C64,C,4,,"New York, NY"
1,1,"Aubart, Mme. Leontine Pauline",39,1,24,0,0,0,0,PC 17477,69.3,2,B35,C,9,,"Paris, France"
1,1,"Barber, Miss. Ellen ""Nellie""",54,1,26,0,0,0,0,19877,78.85,2,,S,6,,
1,1,"Barkworth, Mr. Algernon Henry Wilson",55,0,80,0,0,0,0,27042,30.0,1,A23,S,B,,"Hessle, Yorks"
1,0,"Baumann, Mr. John D",59,0,,0,0,0,0,PC 17318,25.925,1,,S,,,"New York, NY"
1,0,"Baxter, Mr. Quigg Edmond",60,0,24,0,0,1,1,PC 17558,247.5208,4,B58 B60,C,,,"Montreal, PQ"
1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",60,1,50,0,0,1,1,PC 17558,247.5208,4,B58 B60,C,6,,"Montreal, PQ"
1,1,"Bazzani, Miss. Albina",61,1,32,0,0,0,0,11813,76.2917,2,D15,C,8,,
1,0,"Beattie, Mr. Thomson",63,0,36,0,0,0,0,13050,75.2417,2,C6,C,A,,"Winnipeg, MN"
1,1,"Beckwith, Mr. Richard Leonard",67,0,37,1,1,1,1,11751,52.5542,2,D35,S,5,,"New York, NY"
1,1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",67,1,47,1,1,1,1,11751,52.5542,2,D35,S,5,,"New York, NY"
1,1,"Behr, Mr. Karl Howell",69,0,26,0,0,0,0,111369,30.0,1,C148,C,5,,"New York, NY"
1,1,"Bidois, Miss. Rosalie",75,1,42,0,0,0,0,PC 17757,227.525,4,,C,4,,
1,1,"Bird, Miss. Ellen",77,1,29,0,0,0,0,PC 17483,221.7792,4,C97,S,8,,
1,0,"Birnbaum, Mr. Jakob",79,0,25,0,0,0,0,13905,26.0,1,,C,,148,"San Francisco, CA"
1,1,"Bishop, Mr. Dickinson H",80,0,25,1,1,0,0,11967,91.0792,3,B49,C,7,,"Dowagiac, MI"
1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",80,1,19,1,1,0,0,11967,91.0792,3,B49,C,7,,"Dowagiac, MI"
1,1,"Bissette, Miss. Amelia",81,1,35,0,0,0,0,PC 17760,135.6333,3,C99,S,8,,
1,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",83,0,28,0,0,0,0,110564,26.55,1,C52,S,D,,"Stockholm, Sweden / Washington, DC"
1,0,"Blackwell, Mr. Stephen Weart",84,0,45,0,0,0,0,113784,35.5,2,T,S,,,"Trenton, NJ"
1,1,"Blank, Mr. Henry",85,0,40,0,0,0,0,112277,31.0,1,A31,C,7,,"Glen Ridge, NJ"
1,1,"Bonnell, Miss. Caroline",86,1,30,0,0,0,0,36928,164.8667,4,C7,S,8,,"Youngstown, OH"
1,1,"Bonnell, Miss. Elizabeth",86,1,58,0,0,0,0,113783,26.55,1,C103,S,8,,"Birkdale, England Cleveland, Ohio"
1,0,"Borebank, Mr. John James",87,0,42,0,0,0,0,110489,26.55,1,D22,S,,,"London / Winnipeg, MB"
1,1,"Bowen, Miss. Grace Scott",92,1,45,0,0,0,0,PC 17608,262.375,4,,C,4,,"Cooperstown, NY"
1,1,"Bowerman, Miss. Elsie Edith",94,1,22,0,0,1,1,113505,55.0,2,E33,S,6,,"St Leonards-on-Sea, England Ohio"
1,1,"Bradley, Mr. George (""George Arthur Brayton"")",96,0,,0,0,0,0,111427,26.55,1,,S,9,,"Los Angeles, CA"
1,0,"Brady, Mr. John Bertram",97,0,41,0,0,0,0,113054,30.5,1,A21,S,,,"Pomeroy, WA"
1,0,"Brandeis, Mr. Emil",99,0,48,0,0,0,0,PC 17591,50.4958,2,B10,C,,208,"Omaha, NE"
1,0,"Brewe, Dr. Arthur Jackson",101,0,,0,0,0,0,112379,39.6,2,,C,,,"Philadelphia, PA"
1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",104,1,44,0,0,0,0,PC 17610,27.7208,1,B4,C,6,,"Denver, CO"
1,1,"Brown, Mrs. John Murray (Caroline Lane Lamson)",104,1,59,2,1,0,0,11769,51.4792,2,C101,S,D,,"Belmont, MA"
1,1,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",107,1,60,0,0,0,0,11813,76.2917,2,D15,C,8,,"Philadelphia, PA"
1,1,"Burns, Miss. Elizabeth Margaret",109,1,41,0,0,0,0,16966,134.5,3,E40,C,3,,
1,0,"Butt, Major. Archibald Willingham",112,0,45,0,0,0,0,113050,26.55,1,B38,S,,,"Washington, DC"
1,0,"Cairns, Mr. Alexander",116,0,,0,0,0,0,113798,31.0,1,,S,,,
1,1,"Calderhead, Mr. Edward Pennington",117,0,42,0,0,0,0,PC 17476,26.2875,1,E24,S,5,,"New York, NY"
1,1,"Candee, Mrs. Edward (Helen Churchill Hungerford)",123,1,53,0,0,0,0,PC 17606,27.4458,1,,C,6,,"Washington, DC"
1,1,"Cardeza, Mr. Thomas Drake Martinez",127,0,36,0,0,1,1,PC 17755,512.3292,4,B51 B53 B55,C,3,,"Austria-Hungary / Germantown, Philadelphia, PA"
